Name                                         Stars  OpenIssues  Updated                      Description
mrjones2014/legendary.nvim                   832    10          2023-07-08T18:10:03Z         🗺️ A legend for your keymaps, commands, and autocmds, with which-key.nvim integration
JoosepAlviste/nvim-ts-context-commentstring  831    4           2023-06-22T11:49:13Z         Neovim treesitter plugin for setting the commentstring based on the cursor location in a file.                                                                                                                                     
marko-cerovac/material.nvim                  794    2           2023-07-11T19:27:56Z         :trident: Material colorscheme for NeoVim written in Lua with built-in support for native LSP, TreeSitter and many more plugins
epwalsh/obsidian.nvim                        792    28          2023-07-12T16:21:14Z         Neovim plugin for Obsidian, written in Lua
rmagatti/auto-session                        784    29          2023-06-13T18:36:39Z         A small automated session manager for Neovim
NTBBloodbath/rest.nvim                       781    55          2023-07-12T10:53:49Z         A fast Neovim http client written in Lua
jbyuki/venn.nvim                             765    0           2022-11-22T14:38:25Z         Draw ASCII diagrams in Neovim
kdheepak/lazygit.nvim                        747    22          2023-06-03T23:14:06Z         Plugin for calling lazygit from within neovim.                                                                                                                                                                                     
sainnhe/edge                                 746    2           2023-04-24T19:42:44Z         Clean & Elegant Color Scheme inspired by Atom One and Material
rebelot/heirline.nvim                        733    12          2023-07-05T09:47:54Z         Heirline.nvim is a no-nonsense Neovim Statusline plugin designed around recursive inheritance to be exceptionally fast and versatile.                                                                                              
hkupty/iron.nvim                             729    48          2023-07-04T05:52:15Z         Interactive Repl Over Neovim
AckslD/nvim-neoclip.lua                      723    14          2023-05-16T00:18:53Z         Clipboard manager neovim plugin with telescope integration
MordechaiHadad/bob                           706    3           2023-07-13T09:59:13Z         A version manager for neovim
nyoom-engineering/oxocarbon.nvim             700    17          2023-06-06T22:06:06Z         A dark and light Neovim theme written in fennel, inspired by IBM Carbon.                                                                                                                                                           
phaazon/mind.nvim                            698    20          2023-03-22T23:01:11Z         The power of trees at your fingertips.                                                                                                                                                                                             
kevinhwang91/rnvimr                          692    6           2023-06-12T17:57:52Z         Make Ranger running in a floating window to communicate with Neovim via RPC
ldelossa/nvim-ide                            677    18          2023-05-18T12:15:32Z         A full featured IDE layer for Neovim. Heavily inspired by VSCode.                                                                                                                                                                  
dpayne/CodeGPT.nvim                          666    0           2023-05-01T21:31:49Z         CodeGPT is a plugin for neovim that provides commands to interact with ChatGPT.                                                                                                                                                    
kosayoda/nvim-lightbulb                      652    1           2023-07-12T18:05:50Z         VSCode 💡 for neovim's built-in LSP.                                                                                                                                                                                                
fenetikm/falcon                              651    16          2023-03-12T03:17:37Z         A colour scheme for terminals, Vim and friends.                                                                                                                                                                                    
shaunsingh/nord.nvim                         650    23          2023-03-26T00:37:57Z         Neovim theme based off of the Nord Color Palette, written in lua with tree sitter support
mfussenegger/nvim-jdtls                      650    7           2023-07-10T19:53:06Z         Extensions for the built-in LSP support in Neovim for eclipse.jdt.ls
petertriho/nvim-scrollbar                    643    18          2023-05-23T23:55:54Z         Extensible Neovim Scrollbar
